complaint_id,complaint_text,category
243,Videos keep buffering even with full signal.,Internet Speed
244,I have very low signal strength at home.,Signal Issue
245,"I was on hold for 30 minutes, and then the call got disconnected.",Customer Support
246,Videos keep buffering even with full signal.,Internet Speed
247,Why is there a network outage every weekend?,Service Outage
248,Why is there a network outage every weekend?,Service Outage
249,Videos keep buffering even with full signal.,Internet Speed
250,I was overcharged this month without any reason.,Billing Problem
251,No proper resolution from your service team.,Customer Support
252,"My internet is so slow, even loading a webpage takes ages.",Internet Speed
253,Why do I get no bars in rural areas?,Signal Issue
254,"My internet is so slow, even loading a webpage takes ages.",Internet Speed
255,Internet is completely down in my neighborhood.,Service Outage
256,Downloads take forever to complete.,Internet Speed
257,No signal on my phone since morning.,Service Outage
258,The chat support is useless and unhelpful.,Customer Support
259,My bill is incorrect; I see extra charges.,Billing Problem
260,I was overcharged this month without any reason.,Billing Problem
261,No signal on my phone since morning.,Service Outage
262,Gaming lag is unbearable due to poor internet speed.,Internet Speed
263,Why is there a network outage every weekend?,Service Outage
264,Why do I get no bars in rural areas?,Signal Issue
265,Why do I get no bars in rural areas?,Signal Issue
266,No proper resolution from your service team.,Customer Support
267,Support team gave incorrect information.,Customer Support
268,I have very low signal strength at home.,Signal Issue
269,"My internet is so slow, even loading a webpage takes ages.",Internet Speed
270,Why do I get no bars in rural areas?,Signal Issue
271,No proper resolution from your service team.,Customer Support
272,"I was on hold for 30 minutes, and then the call got disconnected.",Customer Support
273,Your customer support is impossible to reach.,Customer Support
274,Internet is completely down in my neighborhood.,Service Outage
275,Your customer support is impossible to reach.,Customer Support
276,Hidden charges keep appearing on my bill.,Billing Problem
277,I have very low signal strength at home.,Signal Issue
278,Why is there a network outage every weekend?,Service Outage
279,"I was on hold for 30 minutes, and then the call got disconnected.",Customer Support
280,Why was my auto-payment deducted twice?,Billing Problem
281,"My internet is so slow, even loading a webpage takes ages.",Internet Speed
282,Internet is completely down in my neighborhood.,Service Outage
283,Hidden charges keep appearing on my bill.,Billing Problem
284,The chat support is useless and unhelpful.,Customer Support
285,No proper resolution from your service team.,Customer Support
286,The chat support is useless and unhelpful.,Customer Support
287,Videos keep buffering even with full signal.,Internet Speed
288,Hidden charges keep appearing on my bill.,Billing Problem
289,I canceled my plan but still got billed.,Billing Problem
290,No network coverage inside my office.,Signal Issue
291,I am paying for high-speed internet but getting very low speeds.,Internet Speed
292,No signal on my phone since morning.,Service Outage
293,No proper resolution from your service team.,Customer Support
294,No signal on my phone since morning.,Service Outage
295,My signal keeps dropping in my area.,Signal Issue
296,Your customer support is impossible to reach.,Customer Support
297,When will the service be restored?,Service Outage
298,Gaming lag is unbearable due to poor internet speed.,Internet Speed
299,I have very low signal strength at home.,Signal Issue
300,The chat support is useless and unhelpful.,Customer Support
301,Why do I get no bars in rural areas?,Signal Issue
302,Why is there a network outage every weekend?,Service Outage
303,Downloads take forever to complete.,Internet Speed
304,The chat support is useless and unhelpful.,Customer Support
305,"My internet is so slow, even loading a webpage takes ages.",Internet Speed
306,I am paying for high-speed internet but getting very low speeds.,Internet Speed
307,"I was on hold for 30 minutes, and then the call got disconnected.",Customer Support
308,No signal on my phone since morning.,Service Outage
309,"I was on hold for 30 minutes, and then the call got disconnected.",Customer Support
310,Gaming lag is unbearable due to poor internet speed.,Internet Speed
311,My bill is incorrect; I see extra charges.,Billing Problem
312,My bill is incorrect; I see extra charges.,Billing Problem
313,I canceled my plan but still got billed.,Billing Problem
314,I was overcharged this month without any reason.,Billing Problem
315,Downloads take forever to complete.,Internet Speed
316,Why was my auto-payment deducted twice?,Billing Problem
317,Support team gave incorrect information.,Customer Support
318,When will the service be restored?,Service Outage
319,When will the service be restored?,Service Outage
320,Gaming lag is unbearable due to poor internet speed.,Internet Speed
321,I was overcharged this month without any reason.,Billing Problem
322,When will the service be restored?,Service Outage
323,Downloads take forever to complete.,Internet Speed
324,No signal on my phone since morning.,Service Outage
325,Gaming lag is unbearable due to poor internet speed.,Internet Speed
326,No signal on my phone since morning.,Service Outage
327,There has been no network in my area for hours.,Service Outage
328,Support team gave incorrect information.,Customer Support
329,The chat support is useless and unhelpful.,Customer Support
330,I was overcharged this month without any reason.,Billing Problem
331,Your customer support is impossible to reach.,Customer Support
332,My signal keeps dropping in my area.,Signal Issue
333,Gaming lag is unbearable due to poor internet speed.,Internet Speed
334,Why was my auto-payment deducted twice?,Billing Problem
335,I canceled my plan but still got billed.,Billing Problem
336,I was overcharged this month without any reason.,Billing Problem
337,My signal keeps dropping in my area.,Signal Issue
338,There has been no network in my area for hours.,Service Outage
339,When will the service be restored?,Service Outage
340,Support team gave incorrect information.,Customer Support
341,Downloads take forever to complete.,Internet Speed
342,I canceled my plan but still got billed.,Billing Problem
343,I was overcharged this month without any reason.,Billing Problem
344,I was overcharged this month without any reason.,Billing Problem
345,I am paying for high-speed internet but getting very low speeds.,Internet Speed
346,Internet is completely down in my neighborhood.,Service Outage
347,Calls keep disconnecting due to weak signal.,Signal Issue
348,There has been no network in my area for hours.,Service Outage
349,No proper resolution from your service team.,Customer Support
350,Downloads take forever to complete.,Internet Speed
351,Your customer support is impossible to reach.,Customer Support
352,No network coverage inside my office.,Signal Issue
353,Why do I get no bars in rural areas?,Signal Issue
354,There has been no network in my area for hours.,Service Outage
355,"My internet is so slow, even loading a webpage takes ages.",Internet Speed
356,Hidden charges keep appearing on my bill.,Billing Problem
357,My bill is incorrect; I see extra charges.,Billing Problem
358,I was overcharged this month without any reason.,Billing Problem
359,Support team gave incorrect information.,Customer Support
360,Gaming lag is unbearable due to poor internet speed.,Internet Speed
361,No network coverage inside my office.,Signal Issue
362,Calls keep disconnecting due to weak signal.,Signal Issue
363,Hidden charges keep appearing on my bill.,Billing Problem
364,When will the service be restored?,Service Outage
365,No proper resolution from your service team.,Customer Support
366,No signal on my phone since morning.,Service Outage
367,"I was on hold for 30 minutes, and then the call got disconnected.",Customer Support
368,I canceled my plan but still got billed.,Billing Problem
369,"My internet is so slow, even loading a webpage takes ages.",Internet Speed
370,I am paying for high-speed internet but getting very low speeds.,Internet Speed
371,No proper resolution from your service team.,Customer Support
372,Your customer support is impossible to reach.,Customer Support
373,There has been no network in my area for hours.,Service Outage
374,My signal keeps dropping in my area.,Signal Issue
375,Why is there a network outage every weekend?,Service Outage
376,Gaming lag is unbearable due to poor internet speed.,Internet Speed
377,I canceled my plan but still got billed.,Billing Problem
378,Videos keep buffering even with full signal.,Internet Speed
379,I am paying for high-speed internet but getting very low speeds.,Internet Speed
380,My signal keeps dropping in my area.,Signal Issue
381,Videos keep buffering even with full signal.,Internet Speed
382,No network coverage inside my office.,Signal Issue
383,I have very low signal strength at home.,Signal Issue
384,No signal on my phone since morning.,Service Outage
385,No signal on my phone since morning.,Service Outage
386,"I was on hold for 30 minutes, and then the call got disconnected.",Customer Support
387,I canceled my plan but still got billed.,Billing Problem
388,Why is there a network outage every weekend?,Service Outage
389,Gaming lag is unbearable due to poor internet speed.,Internet Speed
390,When will the service be restored?,Service Outage
391,Why is there a network outage every weekend?,Service Outage
392,There has been no network in my area for hours.,Service Outage
393,No proper resolution from your service team.,Customer Support
394,My bill is incorrect; I see extra charges.,Billing Problem
395,The chat support is useless and unhelpful.,Customer Support
396,Hidden charges keep appearing on my bill.,Billing Problem
397,Gaming lag is unbearable due to poor internet speed.,Internet Speed
398,I have very low signal strength at home.,Signal Issue
399,Support team gave incorrect information.,Customer Support
400,"I was on hold for 30 minutes, and then the call got disconnected.",Customer Support
401,I am paying for high-speed internet but getting very low speeds.,Internet Speed
402,I was overcharged this month without any reason.,Billing Problem
403,No proper resolution from your service team.,Customer Support
404,Support team gave incorrect information.,Customer Support
405,No network coverage inside my office.,Signal Issue
406,Calls keep disconnecting due to weak signal.,Signal Issue
407,No signal on my phone since morning.,Service Outage
408,"I was on hold for 30 minutes, and then the call got disconnected.",Customer Support
409,Internet is completely down in my neighborhood.,Service Outage
410,Why is there a network outage every weekend?,Service Outage
411,Why do I get no bars in rural areas?,Signal Issue
412,I canceled my plan but still got billed.,Billing Problem
413,No proper resolution from your service team.,Customer Support
414,Gaming lag is unbearable due to poor internet speed.,Internet Speed
415,My bill is incorrect; I see extra charges.,Billing Problem
416,Hidden charges keep appearing on my bill.,Billing Problem
417,"My internet is so slow, even loading a webpage takes ages.",Internet Speed
418,Why do I get no bars in rural areas?,Signal Issue
419,Support team gave incorrect information.,Customer Support
420,When will the service be restored?,Service Outage
421,I canceled my plan but still got billed.,Billing Problem
422,My signal keeps dropping in my area.,Signal Issue
423,Hidden charges keep appearing on my bill.,Billing Problem
424,I am paying for high-speed internet but getting very low speeds.,Internet Speed
425,"My internet is so slow, even loading a webpage takes ages.",Internet Speed
426,"My internet is so slow, even loading a webpage takes ages.",Internet Speed
427,Calls keep disconnecting due to weak signal.,Signal Issue
428,Videos keep buffering even with full signal.,Internet Speed
429,I was overcharged this month without any reason.,Billing Problem
430,Videos keep buffering even with full signal.,Internet Speed
431,I have very low signal strength at home.,Signal Issue
432,Videos keep buffering even with full signal.,Internet Speed
433,I canceled my plan but still got billed.,Billing Problem
434,There has been no network in my area for hours.,Service Outage
435,Why is there a network outage every weekend?,Service Outage
436,My signal keeps dropping in my area.,Signal Issue
437,Support team gave incorrect information.,Customer Support
438,My signal keeps dropping in my area.,Signal Issue
439,I am paying for high-speed internet but getting very low speeds.,Internet Speed
440,No signal on my phone since morning.,Service Outage
441,"I was on hold for 30 minutes, and then the call got disconnected.",Customer Support
442,Support team gave incorrect information.,Customer Support
443,Calls keep disconnecting due to weak signal.,Signal Issue
444,No signal on my phone since morning.,Service Outage
445,"I was on hold for 30 minutes, and then the call got disconnected.",Customer Support
446,"I was on hold for 30 minutes, and then the call got disconnected.",Customer Support
447,My bill is incorrect; I see extra charges.,Billing Problem
448,Why was my auto-payment deducted twice?,Billing Problem
449,Gaming lag is unbearable due to poor internet speed.,Internet Speed
450,Why do I get no bars in rural areas?,Signal Issue
451,Support team gave incorrect information.,Customer Support
452,No signal on my phone since morning.,Service Outage
453,No signal on my phone since morning.,Service Outage
454,There has been no network in my area for hours.,Service Outage
455,The chat support is useless and unhelpful.,Customer Support
456,"My internet is so slow, even loading a webpage takes ages.",Internet Speed
457,Support team gave incorrect information.,Customer Support
458,Why do I get no bars in rural areas?,Signal Issue
459,Why do I get no bars in rural areas?,Signal Issue
460,My bill is incorrect; I see extra charges.,Billing Problem
461,"My internet is so slow, even loading a webpage takes ages.",Internet Speed
462,I am paying for high-speed internet but getting very low speeds.,Internet Speed
463,I am paying for high-speed internet but getting very low speeds.,Internet Speed
464,Why was my auto-payment deducted twice?,Billing Problem
465,Gaming lag is unbearable due to poor internet speed.,Internet Speed
466,No proper resolution from your service team.,Customer Support
467,"I was on hold for 30 minutes, and then the call got disconnected.",Customer Support
468,Hidden charges keep appearing on my bill.,Billing Problem
469,Why do I get no bars in rural areas?,Signal Issue
470,Support team gave incorrect information.,Customer Support
471,Gaming lag is unbearable due to poor internet speed.,Internet Speed
472,When will the service be restored?,Service Outage
473,Downloads take forever to complete.,Internet Speed
474,The chat support is useless and unhelpful.,Customer Support
475,Downloads take forever to complete.,Internet Speed
476,Why is there a network outage every weekend?,Service Outage
477,My bill is incorrect; I see extra charges.,Billing Problem
478,"My internet is so slow, even loading a webpage takes ages.",Internet Speed
479,No signal on my phone since morning.,Service Outage
480,The chat support is useless and unhelpful.,Customer Support
481,Downloads take forever to complete.,Internet Speed
482,There has been no network in my area for hours.,Service Outage
483,There has been no network in my area for hours.,Service Outage
484,Support team gave incorrect information.,Customer Support
485,Gaming lag is unbearable due to poor internet speed.,Internet Speed
486,Calls keep disconnecting due to weak signal.,Signal Issue
487,Why do I get no bars in rural areas?,Signal Issue
488,I have very low signal strength at home.,Signal Issue
489,"I was on hold for 30 minutes, and then the call got disconnected.",Customer Support
490,No proper resolution from your service team.,Customer Support
491,My bill is incorrect; I see extra charges.,Billing Problem
492,I was overcharged this month without any reason.,Billing Problem
493,The chat support is useless and unhelpful.,Customer Support
494,I was overcharged this month without any reason.,Billing Problem
495,I have very low signal strength at home.,Signal Issue
496,There has been no network in my area for hours.,Service Outage
497,Gaming lag is unbearable due to poor internet speed.,Internet Speed
498,Support team gave incorrect information.,Customer Support
499,My signal keeps dropping in my area.,Signal Issue
500,Gaming lag is unbearable due to poor internet speed.,Internet Speed
